1,Administracja,Portiernia bud.1a,200,37-04-200
2,Dyrekcja,Kasa,201,37-04-201
3,Izba Przyjêæ Dzieci,Gab. Przyjêæ Pediatryczny,202,37-04-202
4,Izba Przyjêæ Dzieci,Rejestracja,205,37-04-205
5,Zamówienia Publiczne,Kierownik,206,37-04-206
6,Chirurgii Wad Rozwojowych Dzieci i Traumatologii,Oddzia³owa,216,37-04-216
7,Intensywna Terapia Dzieci i Nowrodków,Dy¿. Piel. - Odc. Nowordkowy,218,37-04-218
8,G³ówna Izba Przyjêæ,Oddzia³owa IP,221,37-04-221
9,Anestezjologia i Intensywna Terapia,Oddzia³owa,225,37-04-225
10,Izba Przyjêæ Dzieci,Gab. Poradnii Chirurgii Dzieciêcej w Bud.1a,226,37-04-226
11,Anestezjologia i Intensywna Terapia,Dy¿. Lek.,227,37-04-227
12,Anestezjologia i Intensywna Terapia,Sala Chorych,228,37-04-228
13,Anestezjologia i Intensywna Terapia,Kierownik,231,37-04-231
14,Ogólnopediatryczny,Sekretariat,235,37-04-235
15,Endokrynologia Dzieci,Sekretariat,235,37-04-235
16,Dyrekcja,Audytor Wewnêtrzny,236,37-04-236
17,Anestezjologia i Intensywna Terapia,Sekretariat,239,37-04-239
18,Dzia³ Zamówieñ Publicznych,,241,37-04-241
19,Intensywna Terapia Dzieci i Nowrodków,Dy¿. Piel. - odc. Nowordkowy,242,37-04-242
20,Radiologia,Technicy,244,37-04-244
21,Intensywna Terapia Dzieci i Nowrodków,Sekretariat,245,37-04-245
22,Radiologia,Pracownia USG,246,37-04-246
23,Radiologia,Sekretariat - FAX,247,37-04-247
24,Radiologia,Sekretariat,248,37-04-248
25,Intensywna Terapia Dzieci i Noworodków,Oddzia³owa,250,37-04-250
26,Pracownia Diag. Pediatrycznej,,252,37-04-252
27,Izba Przyjêæ Dzieci,Gab. Przyjêæ Chirurgicznych,256,37-04-256
28,Dyrekcja,Rozliczenia,257,37-04-257
29,Dyrekcja,Rozliczenia,258,37-04-258
30,Ogólnopediatryczny,Kierownik,261,37-04-261
31,Patologia Noworodka,Sale Chorych,262,37-04-262
32,Radiologia,Rejestracja,263,37-04-263
33,Nefrologia Dzieci,Gab. Zabiegowy,264,37-04-264
34,Gastrologia Dzieci,Sekretariat,265,37-04-265
35,Intesnywna Terapia Dzieci i Noworodków,Dy¿. Piel. - Odc. Dzieci,266,37-04-266
36,Gastrologia Dzieci,Dy¿. Lek.,267,37-04-267
37,Gastrologia Dzieci,Dy¿. Piel.,268,37-04-268
38,Ogólnopediatryczny,Dy¿. Piel.,269,37-04-269
39,Endokrynologia Dzieci,Oddzia³owa,270,37-04-270
40,Endokrynologia Dzieci,Kierownik,271,37-04-271
41,Endokrynologia Dzieci,Dy¿. Piel,272,27-04-272
42,Endokrynologia Dzieci,Dy¿. Lek.,273,37-04-273
43,Centralna Pracownia Psychologii,Psycholodzy,274,37-04-274
44,Gastrologia Dzieci,Kierownik,275,37-04-275
45,Radiologia,Dy¿. Lek.,277,37-04-277
46,Patologia Noworodka,Kierownik,279,37-04-279
47,Patologia Noworodka,Sekretariat,280,37-04-280
48,Nefrologia Dzieci,Sekretariat,283,37-04-283
49,Intensywna Terapia Dzieci i Noworodków,Dy¿. Lek. - Odc Dzieci,285,37-04-285
50,Nefrologia Dzieci,Oddzia³owa,286,37-04-286
51,Nefrologia Dzieci,Dy¿. Lek.,287,37-04-287
52,Nefrologia Dzieci,Dy¿. Piel.,290,37-04-290
53,Patologia Noworodka,Dy¿. Lek.,291,37-04-291
54,Patologia Noworodka,Dy¿. Lek.,293,37-04-293
55,Radiologia,Dy¿urka Opisów,294,37-04-294
56,G³ówna Izba Przyjêæ,Gab.Badañ 1.12,295,37-04-295
57,G³ówna Izba Przyjêæ Doros³ych,Rejestracja,303,37-04-303
58,Dializy Dzieci,Dy¿. Lek.,305,37-04-305
59,Dializy Dzieci,Kierownik,305,37-04-305
60,Dyrekcja,Sekretariat,307,37-04-307
61,Dzia³ Techniczny,Kier. Sekcji Inwestycji i Remontów,309,37-04-309
62,Poradnia Genetyczna,Gab. Lekarski,317,37-04-317
63,Administracja,Referent,320,37-04-320
64,Aparatura Medyczna,Kierownik,321,32-04-321
65,Pracowania Endoskopii,Prac. Endoskopii Przewodu Pokarmowego Bud. 1a,325,37-04-325
66,Chirurgia Wad Rozwojowych Dzieci i Traumatologii,Dy¿.Piel,332,37-04-332
67,Poradnia Gastrologiczna Dzieci,Rejestracja,334,37-04-334
68,Chirurgia Wad Rozwojowych Dzieci i Traumatologii,Pokój zabiegowy,335,37-04-335
69,Gastrologia Dzieci,Dy¿. Lek - Nocna,337,37-04-337
70,Ogólnopediatryczny,Oddzia³owa ,338,37-04-338
71,Izba Przyjêæ Dzieci,Rejstracja-Triage,341,37-04-341
72,Ogólnopediatryczny,Dy¿. Lek.,344,37-04-344
73,Poradnia Gen. i Diag. Prena. Doros³ych,Rejestracja,346,37-04-346
74,Dyrekcja,Sekcja Ewindecji Maj¹tku,348,37-04-348
